"PAN, Solicitation, or Contract Number
","If Follow-on, Provide Current Contract Number",Description of Requirement ,Consolidation Anticipated?,Bundling Anticipated?,Forecasted contract value,Forecasted_PSC,Anticipated NAICS ,"Anticipated Type of Set Aside 
or Unknown",PROCACT,"Indefinite Delivery Vehicle Type (for task/delivery orders) 
or Unknown","Anticipated Contract Type 
or Unknown",Anticipated Solicitation Date,Anticipated Solicitation Closing Date,Forecasted Award Date,Period of Performance,Contracting Office,Contracting Office,Requiring Activity Office ,Assigned Small Business Office ,Assigned Small Business Office Email
W56KGZ-25-Q-1003,,2024-SE-119 EAB MHE,,,$1M to $5M,W039,,,CONTR,,Firm Fixed Price,11/15/2024,11/26/2024,12/3/2024,12,ACC OO,408TH CSB,USARCENT,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-25-P-0000 002380,,AAG66FY25 SAS Analytics PRO to POSTGRE (TEST),,,< $25K,N/A,,,,,,,,1/7/2025,12,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-24-P-0000 019845,,Graylog Security Self-Managed 100BB Software,,,$25K to $250K,7A21,,,CONTR,,Firm Fixed Price,11/27/2024,12/9/2024,4/4/2025,12,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANNWJ-25-P-0000 000321,,PA035 Franklin PA062 Meadville -GRDS-dual location,,,$25K to $250K,S208,,,,,,,,4/24/2025,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANMCC-25-P-0000 009164,,OY1 QUALTRICS ANNUAL SUBSCRIPTION ,,,$25K to $250K,B542,,,,,,,,3/1/2025,12,MICC,FDO EUSTIS,USAWC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15P7T-25-R-MP01,W15P7T16D0002,Follow-On Manpack Radio Procurement,,,≥ $250M,5820,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,10/17/2025,11/25/2025,,120,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-25-P-0000 001471,,"1-N: 18878, ECU for SBU-E - TEM 12, Topic 0015",No,No,$1M to $5M,5895,334220,,CONTR,,Cost Plus Fixed Fee,,,12/2/2024,24,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-24-P-0000 016402,,"12131880, AR002, REGION 1 MATOC MIN GUARANTEE #3",,,< $25K,Z2JZ,,,CONTR,,Firm Fixed Price,,,12/1/2024,60,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-24-P-0000 016313,,De-obligation of funds W912NW22P0093,,,$25K to $250K,UNKNOWN,,,,,,,,12/27/2024,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W911SA-25-Q-1002,,"PR 0012203566 Meal support Starke, FL for 76th ORC",,,$25K to $250K,8940,,,CONTR,,Firm Fixed Price,11/22/2024,12/6/2024,1/6/2025,1,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN409-24-P-0000 000959,W91WFU21A0001,USAG-Stuttgart Base Operations BPA (FY26),,,$100M to $250M,Z2AA,,,BPA,,Firm Fixed Price,9/4/2025,11/20/2025,,60,ACC OO,409TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-25-P-0000 002398,,ETASS - Task Order 2,,,$5M to $10M,R425,,,DO NEG,,Cost Plus Fixed Fee,11/14/2024,11/26/2024,12/27/2024,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
W519TC-25-Q-2051,,DRS/MWMSS -DRILL PRESS & BENCH GRINDER,,,$25K to $250K,3413,,,PO,,Firm Fixed Price,11/19/2024,11/27/2024,12/20/2024,2,ACC CTRS,ACC-RI,AMC: TACOM,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PAN409-25-P-0000 000400,,1ABCT 1CD CHARTER BUS SERVICES,,,$250K to $1M,V212,,,CONTR,,Firm Fixed Price,11/22/2024,11/29/2024,12/1/2024,3,ACC OO,409TH CSB,USAREUR-AF,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-25-P-0000 009057,,REIM B648 Install sidewalk,,,< $25K,N/A,,,,,,,,12/27/2024,4,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W56KGU-25-R-1001,,"RFI posted 10 OCT, due Dec 15 2024",,,< $25K,AJ11,,,CONTR,,Firm Fixed Price,,,11/25/2024,TBD,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 000452,,"Surge Protector, Power filtered",,,< $25K,DE10,,,DO,,Firm Fixed Price,,,1/29/2025,1,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANORL-24-P-0000 001752,47QRAA18S002G,OIB Leadership Course - FOLLOW ON,,,$1M to $5M,U008,,,CONTR,,Firm Fixed Price,,,10/17/2025,12,ACC CTRS,ACC-ORL,"HQ, AMC",ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
PAN410-25-P-0000 000054,,Force Protection Personnel Training,,,$1M to $5M,U014,,,CONTR,,Firm Fixed Price,1/2/2025,2/3/2025,3/3/2025,60,ACC OO,410TH CSB,INSCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANORL-17-P-0000 005734,,NSC Video Wall System,,,$250K to $1M,UNKNOWN,,,DO,,Firm Fixed Price,,,,60,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
PANDTA-23-P-0000 001111,,22R0109 Source Selection Sensitive,,,< $25K,J023,,,CONTR,,Cost Plus Fixed Fee,,,,60,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 000784,,Hotel Leave,,,$25K to $250K,V231,,,CONTR,,Firm Fixed Price,11/22/2024,11/29/2024,12/2/2024,60,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-18-9-1004 0198,,CWMD2407 Nanopore-based device ,,,< $25K,AC13,,,DO NEG,,Cost Plus Fixed Fee,,,3/12/2025,36,ACC CTRS,ACC-NJ,JPEO CBRND,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W912CH-24-R-0188,,EH4C0562EH 016444265 THRUST COLLAR ASSEMBLY,No,No,$250K to $1M,3110,336390,,CONTR,,Firm Fixed Price,12/20/2024,1/19/2025,12/20/2024,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 006206,,FA-17501-25 Repair Normandy Pool,,,$25K to $250K,N/A,,,,,,,,1/6/2025,1,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W519TC-25-R-0007,W52P1J17G0090,EAGLE II: Ft. Bliss Recompete,No,No,< $25K,R706,561210,NO SET ASIDE USED.,CONTR,BOA,Cost Plus Fixed Fee,,,5/4/2025,60,ACC CTRS,ACC-RI,AMC: ASC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W912CH-24-R-0163,,EH4L0204EH DSDU Blank Hardware,,,$25M to $50M,N/A,,,CONTR,,Firm Fixed Price,2/12/2025,3/14/2025,5/23/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W9124D-25-R-0039,W9124D18D0003,3rd-Las Vegas-AMS-New,No,No,$1M to $5M,R408,561110,,DO NEG,IDC,Firm Fixed Price,12/6/2024,1/7/2025,1/31/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-24-R-0038,W56HZV19D0019,EH3C0129EH - Air Sampling Probe Repair (Chem/Bio),No,No,$1M to $5M,6665,334511,NO SET ASIDE USED.,CONTR,,Cost Plus Fixed Fee,12/6/2024,1/6/2025,,60,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-24-P-0000 017169,W56JSR20C0004,G8 follow-on contract to: W56JSR-20-C-0004 ,,,$10M to $25M,N/A,,8(A) SOLE SOURCE ,CONTR,,Cost Plus Fixed Fee,3/14/2025,4/18/2025,7/16/2025,TBD,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 006376,,11940701 MN001 SNOW BASE YR FY24 DEOB,,,< $25K,S218,,,,,,,,1/31/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W911QY-25-R-JS01,,CBRND Professional Services for JPM Sensors ACQ,No,No,$25M to $50M,R499,541611,,DO NEG,,Firm Fixed Price,,,7/31/2025,7,ACC CTRS,ACC-APG,JPEO CBRND,ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-25-R-0006,,"EH4L0167EH 014831065 TANK,FABRIC,COLLAPS",No,No,$1M to $5M,5430,326299,,CONTR,,Firm Fixed Price,12/13/2024,12/30/2024,3/20/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 009264,W9124920C0011,FY25 5102.00.00 Faculty & Staff Dev Inst_28 APR 25,No,No,$1M to $5M,U008,611430,8(A) SOLE SOURCE ,CONTR,,Firm Fixed Price,2/24/2025,3/13/2025,4/28/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91247-25-R-AL15,,FA-15001-24 Repair Unsafe Working Condition 8-5303,,,$25K to $250K,N/A,,,CONTR,,Firm Fixed Price,5/1/2025,5/4/2025,9/30/2025,6,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 000216,,FLAGS,No,No,$25M to $50M,AC11,541715,,DO,,Cost Plus Fixed Fee,,,3/28/2025,24,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-25-R-0031,,EH4C0875EH OPTICAL WINDOW ASSE,,,$250K to $1M,5821,,,CONTR,,Firm Fixed Price,1/17/2025,2/18/2025,3/19/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 025765,W9124L20C0009,Ft. Sill Post Wide Custodial Re-compete,,,$10M to $25M,S201,,8(A) SOLE SOURCE ,CONTR,,Firm Fixed Price,2/20/2025,4/18/2025,9/30/2025,12,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-24-P-0000 005453,,LOGCAP V.V Competition,,,≥ $250M,R706,,,DO NEG,,Cost Plus Fixed Fee,5/30/2025,7/28/2025,8/1/2025,60,ACC CTRS,ACC-RI,"HQ, AMC",ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W519TC-25-C-DR01,,DS: Hy-Tek - PQDR - TEAD,,,< $25K,N/A,,,CONTR,,Firm Fixed Price,,,12/16/2024,12,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W58RGZ-25-R-0010,W58RGZ19D0045,LSF6,No,No,≥ $250M,1680,336411,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,,,2/2/2026,108,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-25-P-0000 001496,W912C320D0001,FY25 Fence IDIQ,,,$1M to $5M,Z2QA,,8A COMPETED,CONTR,,Firm Fixed Price,4/16/2025,5/16/2025,,60,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-24-P-0000 001422,W911W419F0029,Source Selection DAIIS,,,$10M to $25M,R423,,,CONTR,,Cost Plus Fixed Fee,,,,48,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W56HZV-21-Q-0075,,EH8E1767EH-EH8E1768EH Bump Thru Door Sets,,,$25K to $250K,5340,,,CONTR,,Firm Fixed Price,6/18/2020,1/6/2025,,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANDTA-24-P-0000 011586,,DPM TSS P13 Tooling & Storage Bins,,,$5M to $10M,3455,,,DO NEG,,Firm Fixed Price,,,12/16/2024,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANDTA-25-P-0000 002429,,FMS Billing Voucher Instructions,,,≥ $250M,2355,,,,,,,,11/29/2024,6,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANDTA-25-P-0000 000381,,Abrasive Garnet - 2 PRs,,,< $25K,3460,,,BPA,,Firm Fixed Price,,,11/30/2024,4,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 022459,W9124R22P0007,"Follow On, Parts Cleaners Washers",,,$25K to $250K,J068,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,2/10/2025,3/12/2025,6/1/2025,36,MICC,418TH CSB,USATEC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W58RGZ-25-F-0059,W58RGZ23F0058,RSDS Follow On Task Order to TO 01,,,$10M to $25M,N/A,,,DO NEG,,Cost Plus Incentive Fee,9/13/2024,12/13/2024,2/21/2025,12,ACC CTRS,ACC-RSA,PEO IEWS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANRSA-24-P-0000 002102,,UHBH MEDEVAC VRS-LA IDIQ,No,No,$25M to $50M,1680,336413,,CONTR,,Firm Fixed Price,12/5/2024,12/26/2024,4/17/2025,60,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W9124P-25-F-0041,,LO-B-UCW L012 PR 12212332,,,$25K to $250K,J010,,,DO,,Firm Fixed Price,11/12/2024,,12/1/2024,18,ACC CTRS,ACC-RSA,AMC: USASAC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W519TC-25-R-0004,,BLU 129/B Case Assembly (Empty),,,$25M to $50M,1325,,,CONTR,,Firm Fixed Price,2/12/2025,3/28/2025,10/21/2025,36,ACC CTRS,ACC-RI,JPEO AA,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W31P4Q-25-R-0005,W31P4Q20C0049,BUNKER STORAGE FY 25 Follow On,,,$5M to $10M,X1GA,,NO SET ASIDE USED.,CONTR,,Cost Plus Fixed Fee,,,8/18/2025,12,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-25-P-0000 001886,,HQ- Cisco Network Ethernet Switches,,,$25K to $250K,7B20,,,DO,,Firm Fixed Price,,,1/20/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 020323,,CDC/Post-Wide Merger,,,$25M to $50M,S201,,,CONTR,,Firm Fixed Price,2/3/2025,3/3/2025,5/30/2025,60,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91QV1-25-F-9993,,BASOPS_FE-23160-3J_B2990_PUMP OUT SEPTIC TANK,,,< $25K,M1AZ,,,DO,,Firm Fixed Price,11/25/2024,,12/6/2024,4,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 006066,N0024418D0003,FY25 116th MI BDE Cell Phone Contract_01 DEC 2024 ,,,$25K to $250K,DE11,,,DO,IDC,Firm Fixed Price,,,12/1/2024,12,MICC,FDO EUSTIS,INSCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-25-P-0000 000898,,Cameo Enterprise Architecture Software,,,$25K to $250K,DA10,513210,,DO,,Firm Fixed Price,11/21/2024,11/29/2024,12/18/2024,12,ACC CTRS,ACC-RSA,PEO IEWS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANDTA-25-P-0000 000085,,WD 190 USAF No Cost PoP Ext,,,≥ $250M,2355,,,,,,,,1/31/2025,6,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911W4-10-D-0004 0003,,EDGESOURCE CORPORATION,,,< $25K,N/A,,,DO NEG,,Cost No Fee,,,,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911SA-25-P-3031,W911SA21P3021,"MBF Services, MO001 CUSTODIAL B+4, 1-01-2025",No,No,$25K to $250K,S201,561720,WOMEN OWNED SMALL BUSINESS,PO,,Firm Fixed Price,11/1/2024,11/29/2024,1/1/2025,60,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-24-F-0537,,Gaskets & Protective Cover Parts for Canadian M777,No,No,$25K to $250K,1025,332994,,DO NEG,,Firm Fixed Price,,,11/29/2024,12,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANDTA-24-P-0000 000870,,Retrofit Kits Contract,,,$25M to $50M,2590,,,CONTR,,Firm Fixed Price,,,,60,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-24-P-0000 020836,,Atlassian Annual Renewals,,,$250K to $1M,7A21,,,CONTR,,Firm Fixed Price,12/31/2024,1/8/2025,1/29/2025,12,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
W91QV1-25-F-9908,,BASOPS_FQ-24001-4J_B2111_Label Mailboxes,,,< $25K,M1AZ,,,DO,,Firm Fixed Price,,,12/6/2024,3,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-25-P-0000 004674,,Scot Forge Material Purchase,,,$25K to $250K,9630,,,PO,,Firm Fixed Price,11/18/2024,11/25/2024,12/2/2024,1,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 005501,,JBLM Mold Remedition (New) ,,,$250K to $1M,N/A,,,CONTR,,Firm Fixed Price,11/25/2024,12/9/2024,2/1/2025,60,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W50NH9-25-R-0007,,G6/GISA ITPM FY25 Recompete,No,No,$10M to $25M,DF01,541519,,CONTR,,Firm Fixed Price,,,6/20/2025,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W58RGZ-25-R-0036,,KI502 AX4M4008AX ENGINE REGULATOR 2920-01-471-0887,No,No,$250K to $1M,2920,336310,,CONTR,,Firm Fixed Price,11/22/2024,12/5/2024,9/30/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANRSA-24-P-0000 014502,,Boeing H47 Parts 8,,,$25K to $250K,1650,,,PO,,Firm Fixed Price,11/22/2024,12/13/2024,1/3/2025,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-24-P-0000 019940,,"AE24127	FI-B-VBI SS Chelton VIC-3",,,$1M to $5M,N/A,,,,,,,,1/31/2025,24,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-24-P-0000 018176,,Workforce Development Support Contract,,,$10M to $25M,R499,,,CONTR,,Firm Fixed Price,2/7/2025,3/7/2025,8/8/2025,60,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-25-F-0070,,Refurbishment (29 vehicles),,,$100M to $250M,2355,,,DO,,Firm Fixed Price,9/17/2024,,11/29/2024,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-25-P-0000 000621,,New Contract for (4) FN Expert Sensors,No,No,< $25K,6920,333310,,CONTR,,Firm Fixed Price,,,1/15/2025,12,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANNWJ-24-P-0000 000783,,Electronic Intermittent Fault Detection System ,,,$10M to $25M,6625,,,CONTR,,Order Dependent,,,6/2/2025,12,ACC CTRS,ACC-NJ,PEO CS AND CSS,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W912CH-24-R-0172,W56HZV20D0116,Source Selection Sensitive CAS FY25 IDIQ,,,$50M to $100M,R425,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,,,7/31/2025,60,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANROC-24-P-0000 006281,W52P1J20F0028,MOTCO_Electric Utility Services_Contract ReCompete,,,$1M to $5M,UNKNOWN,,,BPA,,Firm Fixed Price,,,4/1/2025,12,ACC CTRS,ACC-RI,AMC: SDDC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PAN409-25-P-0000 001440,,Family Advocacy Program Training,,,$25K to $250K,U008,,,,,,,,1/17/2025,1,ACC OO,409TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-25-P-0000 001268,,Dust Control Booth Parts,,,< $25K,4460,,,PO,,Firm Fixed Price,,,2/18/2025,2,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PAN411-25-P-0000 001226,,PR# 12217433/ 8A C4I Service Contract,,,$1M to $5M,R699,,,,,,,,11/29/2024,12,ACC OO,411TH CSB,USARPAC,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W58RGZ-25-F-0061,,DO #1 under W58RGZ-25-D-0001,,,$1M to $5M,5895,,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-24-P-0000 021948,,PCC5 Rental/Lease_Shower Trailers/Washstations,,,$250K to $1M,W099,,,CONTR,,Firm Fixed Price,12/9/2024,1/7/2025,12/31/2024,3,MICC,418TH CSB,"HQ, AFC",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-23-P-0000 013874,,PLANNING Bell IDIQ Follow-on Contract,,,≥ $250M,1520,,,CONTR,,Firm Fixed Price,,,1/24/2025,60,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W90VN9-25-R-A001,,"CN/Demolish B#1330, BSF/at13chk",,,$250K to $1M,Z2GZ,,,CONTR,,Firm Fixed Price,11/25/2024,12/24/2024,12/23/2024,2,ACC OO,411TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANDTA-25-P-0000 003729,,PM LAV Haystack Gold Licenses,,,< $25K,7E21,,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W90VN8-24-R-0068,,"PR12144967, Signal Equipment at Cp Casey",,,< $25K,H322,,,PO,,Firm Fixed Price,,,1/6/2025,12,ACC OO,411TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-24-P-0000 023748,,CISCO SD-WAN,,,$50M to $100M,7A21,,,CONTR,,Firm Fixed Price,,,2/24/2025,60,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
W9124D-25-R-0007,W9124D24F0101,2nd-Springfield-AMS-New,No,No,$5M to $10M,R408,561110,,DO NEG,,Firm Fixed Price,11/14/2024,12/9/2024,12/19/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANNWJ-25-P-0000 000147,,M211 MJU-50A/B MJU-51A/B Countermeasure Flares,,,$25M to $50M,1370,,,CONTR,,Firm Fixed Price,,,10/30/2026,12,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W912CH-25-Q-0017,,"EH4C0542EH 015397190 CABLE ASSEMBLY,SPEC",,,< $25K,5995,,,CONTR,,Firm Fixed Price,1/24/2025,2/24/2025,12/12/2024,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANROC-24-P-0000 007994,,CAAA FY25 Rigging 2735 Job,,,$25K to $250K,Z2JZ,,,CONTR,,Firm Fixed Price,11/7/2024,12/9/2024,11/29/2024,TBD,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W15P7T-25-R-0010,,Family of Terminals - Large (FoT-L),,,≥ $250M,UNKNOWN,,,CONTR,,Cost Plus Fixed Fee,,,,60,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
W15QKN-25-Q-A022,,VA033 Refuse Galax PR #12179911,,,$25K to $250K,S205,,,CONTR,,Firm Fixed Price,12/6/2024,12/12/2024,12/2/2024,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W519TC-24-R-0012,,M84 Stun Grenade,,,< $25K,1330,,,CONTR,,Firm Fixed Price,,,1/30/2026,60,ACC CTRS,ACC-RI,JPEO AA,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W911S2-25-B-A001,,REQ Traffic Control Painting Airfield (TCP-A),No,No,$5M to $10M,Z1BD,237310,,CONTR,,Firm Fixed Price,1/7/2025,2/6/2025,6/27/2025,12,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
